appid,name,date,price,score,bucket,missed_savings_pct
1517290,Battlefield™_2042,2025-01-03,2999.0,39.97531952401939,Wait a Bit,85.02834278092698
1517290,Battlefield™_2042,2025-01-27,449.0,77.27966735010635,Good Value,46.770601336302896
1517290,Battlefield™_2042,2025-02-10,2999.0,39.42233009708738,Wait a Bit,92.03067689229744
1517290,Battlefield™_2042,2025-03-13,239.0,83.83689839572193,Good Value,0.0
1517290,Battlefield™_2042,2025-03-27,2999.0,39.83689839572193,Wait a Bit,92.03067689229744
1517290,Battlefield™_2042,2025-05-01,239.0,77.99849793466016,Good Value,37.65690376569037
1517290,Battlefield™_2042,2025-05-15,2999.0,33.99849793466016,Avoid,95.03167722574192
1517290,Battlefield™_2042,2025-06-19,149.0,75.90657652120467,Good Value,0.0
1517290,Battlefield™_2042,2025-06-27,149.0,75.90657652120467,Good Value,0.0
1517290,Battlefield™_2042,2025-07-10,2999.0,27.158474828716116,Avoid,95.03167722574192
1517290,Battlefield™_2042,2025-08-19,149.0,80.16726160122386,Good Value,-100.0
1517290,Battlefield™_2042,2026-03-12,149.0,82.3201856148492,Good Value,-100.0
1517290,Battlefield™_2042,2026-03-26,2999.0,38.320185614849194,Wait a Bit,0.0
504230,Celeste,2024-07-20,880.0,77.07606624651913,Good Value,75.0
504230,Celeste,2024-08-19,220.0,90.19280813815945,Excellent Buy,-100.0
504230,Celeste,2024-08-26,880.0,76.85947480482612,Good Value,75.0
504230,Celeste,2024-10-22,220.0,89.8660502607871,Excellent Buy,0.0
504230,Celeste,2024-10-24,880.0,76.53271692745378,Good Value,75.0
504230,Celeste,2024-10-28,220.0,89.8660502607871,Excellent Buy,0.0
504230,Celeste,2024-11-03,880.0,77.16463414634146,Good Value,75.0
504230,Celeste,2024-11-27,220.0,90.49796747967478,Excellent Buy,0.0
504230,Celeste,2024-12-04,880.0,77.88292457195743,Good Value,75.0
504230,Celeste,2024-12-20,220.0,91.21625790529076,Excellent Buy,-100.0
504230,Celeste,2025-03-13,220.0,89.93227326266195,Excellent Buy,-100.0
504230,Celeste,2025-03-20,880.0,76.59893992932862,Good Value,50.0
504230,Celeste,2025-03-27,440.0,78.82116215155085,Good Value,-100.0
504230,Celeste,2025-06-26,220.0,90.65288483999065,Excellent Buy,0.0
504230,Celeste,2025-07-10,880.0,77.47124157080523,Good Value,75.0
504230,Celeste,2025-08-15,220.0,91.06060606060605,Excellent Buy,0.0
504230,Celeste,2025-08-29,880.0,77.72727272727272,Good Value,75.0
504230,Celeste,2025-09-29,220.0,90.08350259535094,Excellent Buy,0.0
504230,Celeste,2025-10-06,880.0,77.17441860465117,Good Value,75.0
504230,Celeste,2025-10-08,220.0,90.5077519379845,Excellent Buy,0.0
504230,Celeste,2025-10-22,880.0,77.17441860465117,Good Value,75.0
504230,Celeste,2025-11-21,220.0,90.0194931773879,Excellent Buy,0.0
504230,Celeste,2025-12-05,880.0,77.46008708272859,Good Value,75.0
504230,Celeste,2025-12-18,220.0,90.79342041606192,Excellent Buy,-100.0
504230,Celeste,2026-01-19,880.0,77.37639925373135,Good Value,74.43181818181817
504230,Celeste,2026-01-27,899.0,77.37639925373135,Good Value,74.972191323693
504230,Celeste,2026-03-04,225.0,90.72727610478155,Excellent Buy,0.0
